timestamp_ms,channel,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
1771936199031,TP10,-34.1797,-25.8789,51.7578,58.1055,3.4180,-14.1602,42.9688,81.5430,7.8125,-22.4609,6.3477,42.9688
1771936199032,AF8,14.6484,16.1133,12.2070,13.6719,31.7383,33.6914,28.3203,19.5313,5.3711,15.6250,6.8359,-3.4180
1771936199033,TP9,-5.8594,3.4180,66.4063,74.7070,19.0430,-5.8594,57.1289,97.6563,25.3906,-14.6484,16.6016,70.3125
1771936199034,AF7,26.8555,29.2969,26.8555,33.6914,45.8984,37.1094,42.4805,50.7813,34.1797,32.2266,28.3203,18.5547
1771936199078,TP10,16.1133,-32.7148,-15.1367,31.2500,-0.4883,-41.0156,-47.8516,-10.7422,19.0430,-31.7383,-51.2695,-7.8125
1771936199078,AF8,27.3438,46.8750,33.6914,0.0000,-8.7891,25.8789,25.3906,-7.8125,-1.4648,31.7383,35.6445,7.8125
1771936199079,TP9,49.8047,6.3477,23.9258,69.8242,58.5938,29.7852,18.0664,41.5039,71.7773,27.3438,-2.4414,32.2266
1771936199080,AF7,35.6445,55.1758,53.2227,28.8086,23.4375,62.0117,63.4766,25.8789,28.8086,52.2461,56.1523,25.8789
1771936199137,TP10,32.2266,10.7422,-27.8320,-15.1367,39.0625,25.8789,-14.6484,-14.6484,50.7813,58.1055,2.4414,1.9531
1771936199137,AF8,5.3711,36.6211,32.7148,2.4414,-13.6719,14.6484,44.4336,35.1563,7.8125,-2.9297,11.7188,12.6953
1771936199138,TP9,74.7070,52.2461,11.7188,15.6250,66.4063,67.8711,25.8789,10.2539,60.0586,68.3594,10.7422,0.4883
1771936199138,AF7,13.1836,49.3164,53.2227,21.4844,10.7422,41.5039,71.2891,56.1523,31.7383,28.8086,41.5039,41.5039
1771936199184,TP10,57.1289,66.8945,9.7656,-1.4648,50.2930,85.9375,32.7148,-18.5547,13.6719,73.2422,20.9961,-54.1992
1771936199184,AF8,4.8828,14.1602,32.2266,39.5508,29.2969,20.0195,28.8086,34.6680,33.2031,28.8086,18.0664,16.6016
1771936199184,TP9,64.4531,88.3789,26.3672,-0.4883,39.0625,83.0078,45.4102,2.4414,29.2969,96.6797,72.2656,8.7891
1771936199184,AF7,28.3203,28.3203,41.0156,55.1758,48.8281,29.7852,40.0391,45.4102,33.6914,29.7852,38.0859,50.7813
1771936199227,AF8,25.8789,20.0195,20.5078,29.2969,24.9023,18.5547,20.0195,28.8086,46.3867,41.5039,23.4375,41.5039
1771936199227,TP10,-33.2031,31.7383,7.8125,-64.4531,-59.0820,13.1836,35.1563,-31.7383,-40.5273,17.5781,58.1055,21.4844
1771936199228,TP9,11.2305,72.2656,75.6836,11.7188,0.0000,48.3398,77.6367,30.7617,11.7188,50.2930,81.0547,48.3398
1771936199229,AF7,46.8750,37.1094,47.8516,48.3398,34.1797,26.8555,30.2734,43.4570,58.1055,63.9648,47.8516,39.0625
1771936199272,TP10,-14.6484,1.4648,55.1758,33.2031,-22.9492,-3.9063,47.8516,52.7344,-5.3711,-26.8555,24.9023,56.1523
1771936199272,AF8,47.8516,24.9023,5.3711,19.5313,41.5039,40.0391,20.9961,25.8789,45.8984,41.5039,24.9023,21.9727
1771936199273,TP9,22.4609,37.1094,69.3359,55.1758,12.2070,20.0195,74.7070,83.9844,29.7852,4.8828,36.6211,75.6836
1771936199274,AF7,56.1523,49.8047,20.9961,25.8789,42.9688,50.7813,42.4805,41.5039,55.1758,49.8047,32.2266,36.1328
1771936199318,TP10,4.8828,-31.2500,0.0000,45.4102,9.7656,-27.8320,-8.3008,56.6406,55.1758,-5.3711,-0.9766,54.6875
